"opcode","longitude","latitude","date","time","site","location","status","depth","observer","successful.count","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","total.points.annotated","mean.relief","sd.relief"
"npz6.C02",113.385,-28.118,20210512,14:52:00,NA,"NPZ6","Fished",125,"Molly","Y",0,0,0,2,0,0,0,13,15,0,0
"npz6.BOSS41",113.3939,-28.1137,20210512,14:57:00,NA,"NPZ6","Fished",104,"Molly","Y",3,5,0,1,0,0,7,4,20,2.07692307692308,0.277350098112615
"npz6.36",113.4089,-28.1062,20210512,15:02:00,"out6.9","NPZ6","Fished",66.5,"Molly","Y",0,3,0,0,1,0,2,10,16,1.1875,0.910585891976516
"npz9.7",113.1964,-27.1162,20210515,08:37:00,"npz9.7","NPZ9","No-take",97.2,"Molly","Y",0,0,0,0,0,0,0,18,18,1,0
"npz9.29",113.2089,-27.1313,20210515,08:27:00,"npz9.29","NPZ9","No-take",96.7,"Molly","Y",2,0,0,4,0,0,0,8,14,1,0
"npz9.12",113.2039,-27.1462,20210515,08:19:00,"npz9.12","NPZ9","No-take",92.2,"Molly","Y",0,0,0,0,0,0,0,7,7,1,0
"npz9.5",113.214,-27.151,20210515,08:09:00,"npz9.5","NPZ9","No-take",87.8,"Molly","Y",0,0,0,13,0,0,6,0,19,2.5,0.760885910252682
"npz9.9",113.1888,-27.1288,20210515,08:48:00,"npz9.9","NPZ9","No-take",82.1,"Molly","Y",0,2,0,4,0,0,1,8,15,1.33333333333333,0.492365963917331
"npz9.26",113.2139,-27.1437,20210515,08:14:00,"npz9.26","NPZ9","No-take",90.9,"Molly","Y",0,0,0,4,0,0,1,11,16,1.61538461538462,0.506369683541833
"npz9.11",113.1889,-27.1238,20210515,08:46:00,"npz9.11","NPZ9","No-take",85.8,"Molly","Y",0,1,0,11,0,0,0,2,14,1.27272727272727,0.646669790682863
"npz9.19",113.1764,-27.1539,20210515,08:58:00,"npz9.19","NPZ9","No-take",87.1,"Molly","Y",0,1,0,0,0,0,0,13,14,1,0
"npz9.30",113.1864,-27.1187,20210515,08:43:00,"npz9.30","NPZ9","No-take",90.3,"Molly","Y",0,1,0,2,0,0,0,15,18,1,0
"npz9.10",113.1565,-27.1638,20210515,10:36:00,"npz9.10","NPZ9","No-take",93.6,"Molly","Y",0,0,0,3,0,0,0,13,16,1,0
"npz9.22",113.1413,-27.1537,20210515,10:34:00,"npz9.22","NPZ9","No-take",102,"Molly","Y",0,0,0,0,0,0,0,4,4,1,0
"npz9.2",113.1465,-27.1411,20210515,10:52:00,"npz9.2","NPZ9","No-take",92.1,"Molly","Y",0,0,1,0,0,0,0,8,9,1,0
"npz9.14",113.1364,-27.1438,20210515,10:56:00,"npz9.14","NPZ9","No-take",101,"Molly","Y",0,0,0,0,0,0,0,19,19,1,0
"npz9.3",113.1239,-27.1312,20210515,11:04:00,"npz9.3","NPZ9","No-take",104,"Molly","Y",0,0,0,0,0,0,0,18,18,1,0
"npz9.8",113.1189,-27.1261,20210515,11:08:00,"npz9.8","NPZ9","No-take",105,"Molly","Y",0,0,0,0,0,0,0,17,17,0.9,0.316227766016838
"npz9.24",113.1067,-27.1311,20210515,11:14:00,"npz9.24","NPZ9","No-take",117,"Molly","Y",0,0,0,1,0,0,0,12,13,0.888888888888889,0.927960727138337
"npz9.21",113.1014,-27.1362,20210515,11:26:00,"npz9.21","NPZ9","No-take",122,"Molly","Y",0,0,0,1,0,0,0,14,15,0,0
"npz9.16",113.109,-27.1187,20210515,13:16:00,"npz9.16","NPZ9","No-take",108,"Molly","Y",0,0,0,0,0,0,0,17,17,1,0
"npz9.27",113.1014,-27.1164,20210515,13:21:00,"npz9.27","NPZ9","No-take",114,"Molly","Y",0,0,0,0,0,0,0,15,15,1,0
"npz9.13",113.1038,-27.1113,20210515,13:27:00,"npz9.13","NPZ9","No-take",109,"Molly","Y",0,0,0,0,0,1,0,12,13,1.1,0.316227766016838
"npz9.17",113.0913,-27.1012,20210515,13:37:00,"npz9.17","NPZ9","No-take",114,"Molly","Y",0,0,0,0,0,0,1,10,11,1.22222222222222,0.440958551844098
"npz9.1",113.0863,-27.0962,20210515,13:43:00,"npz9.1","NPZ9","No-take",116,"Molly","Y",0,0,0,0,0,0,0,11,11,1,0
"npz9.28",113.0538,-27.1013,20210515,13:57:00,"npz9.28","NPZ9","No-take",132,"Molly","Y",0,0,0,0,0,0,0,19,19,0,0
"npz9.18",113.0664,-27.1236,20210515,14:08:00,"npz9.18","NPZ9","No-take",132,"Molly","Y",0,0,0,0,0,0,0,13,13,0.3,0.483045891539648
"npz9.25",113.074,-27.1462,20210515,14:17:00,"npz9.25","NPZ9","No-take",133,"Molly","Y",0,0,0,0,0,0,0,16,16,0,0
"npz9.4",113.1139,-27.1163,20210515,13:11:00,"npz9.4","NPZ9","No-take",104,"Molly","Y",0,1,0,0,0,0,0,14,15,0.666666666666667,0.492365963917331
