"period","longitude","latitude","date","time","location","site","status","depth","observer","successful.count","detailed.consolidated.boulder.turfmat","detailed.consolidated.boulder.veneer","detailed.consolidated.cobbles.turfmat","detailed.consolidated.cobbles.veneer","detailed.consolidated.rock.turfmat","detailed.consolidated.rock.veneer","detailed.invertebratecomplex.complex1.","detailed.macroalgae.articulatedcalcareous.","detailed.macroalgae.drift.","detailed.macroalgae.encrusting.red","detailed.macroalgae.erectcoursebranching.brown","detailed.macroalgae.erectcoursebranching.red","detailed.macroalgae.erectfinebranching.brown","detailed.macroalgae.erectfinebranching.green","detailed.macroalgae.erectfinebranching.red","detailed.macroalgae.filamentousandfiliform.","detailed.macroalgae.largecanopy.forming.eckloniaradiata","detailed.macroalgae.smallmixed.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.octocoral.black.quill.seapen.","detailed.octocoral.black.whip.","detailed.sponges.crusts.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.sponges.smallmixed.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.pebble.gravel.pebble10.64mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","mean.relief","sd.relief"
"npz6.26",113.4414,-28.0487,20210511,13:01:18,"NPZ6","npz6.26","No-take",42,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.25,0,15,0,0,0,0,0,0,3.75,0,7.5,1.25,0,0,0,1.25,0,3,0
"npz6.20",113.4413,-28.0462,20210511,13:09:55,"NPZ6","npz6.20","No-take",51,"Claude","Y",0,0,77.2151898734177,0,0,0,0,0,0,0,0,0,1.26582278481013,0,7.59493670886076,0,0,0,0,0,0,0,0,0,0,13.9240506329114,0,0,0,0,0,0,2.23188405797101,1.2144343579993
"npz6.6",113.4213,-28.0362,20210511,13:26:30,"NPZ6","npz6.6","No-take",66.6,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz6.17",113.3939,-28.0587,20210511,13:45:12,"NPZ6","npz6.17","No-take",65.7,"Claude","Y",0,0,0,0,40,0,5.71428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28571428571429,2.85714285714286,12.8571428571429,28.5714285714286,0,0,0,5.71428571428571,0,1.484375,0.534290435850456
"npz6.21",113.4014,-28.0737,20210511,13:59:39,"NPZ6","npz6.21","No-take",57.4,"Claude","Y",0,0,0,0,7.14285714285714,0,0,0,0,0,0,0,0,0,1.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.4285714285714,0,0.893939393939394,0.682276458263925
"npz6.31",113.3938,-28.0711,20210511,14:11:16,"NPZ6","npz6.31","No-take",81.9,"Claude","Y",0,0,67.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0
"npz6.7",113.3812,-28.0687,20210511,14:23:16,"NPZ6","npz6.7","No-take",89.5,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,0,86.25,0,0.6,0.527224906178488
"npz6.15",113.3788,-28.0712,20210511,14:33:06,"NPZ6","npz6.15","No-take",92,"Claude","Y",0,0,0,0,32.4324324324324,0,16.2162162162162,0,0,0,0,0,0,0,0,0,0,0,1.35135135135135,1.35135135135135,0,0,0,5.40540540540541,4.05405405405405,2.7027027027027,4.05405405405405,0,0,0,32.4324324324324,0,1.79411764705882,0.659235729573739
"npz6.25",113.3815,-28.0362,20210511,14:53:40,"NPZ6","npz6.25","No-take",70.6,"Claude","Y",0,0,64.7887323943662,0,2.8169014084507,0,1.40845070422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45070422535211,0,2.8169014084507,0,0,19.7183098591549,0,1.30508474576271,0.676049306713737
"npz6.1",113.3761,-28.0459,20210511,15:06:51,"NPZ6","npz6.1","No-take",90.9,"Claude","Y",0,0,0,0,29.3333333333333,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,2.66666666666667,6.66666666666667,0,0,0,53.3333333333333,0,1.52380952380952,0.644008186111638
"npz6.9",113.3687,-28.0486,20210511,15:19:08,"NPZ6","npz6.9","No-take",101,"Claude","Y",0,0,0,0,0,0,3.79746835443038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26582278481013,0,0,0,1.26582278481013,0,0,72.1518987341772,0,21.5189873417722,0,0.88,0.520596204522531
"npz6.16",113.3588,-28.0411,20210511,15:33:16,"NPZ6","npz6.16","No-take",123,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"npz6.23",113.3362,-28.041,20210511,15:50:26,"NPZ6","npz6.23","No-take",151,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.0444444444444444,0.208409077139993
"npz6.12",113.3238,-28.0486,20210511,16:04:48,"NPZ6","npz6.12","No-take",159,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"npz6.18",113.5038,-28.0837,20210513,11:02:11,"NPZ6","npz6.18","No-take",50,"Claude","Y",0,0,0,0,44.1558441558442,0,3.8961038961039,0,0,0,0,2.5974025974026,0,0,1.2987012987013,0,0,0,0,0,0,0,0,0,1.2987012987013,31.1688311688312,0,0,0,0,15.5844155844156,0,2,0.563436169819011
"npz6.47",113.4816,-28.1185,20210513,11:24:51,"NPZ6","out6.10","Fished",44,"Claude","Y",0,0,7.5,0,36.25,0,0,0,0,0,0,3.75,0,0,5,0,0,0,0,0,0,0,0,3.75,2.5,1.25,0,0,0,0,40,0,1.23333333333333,0.499717434280908
"npz6.49",113.4764,-28.1139,20210513,11:34:57,"NPZ6","out6.12","Fished",49.6,"Claude","Y",0,0,0,0,10.2564102564103,0,0,0,0,0,0,1.28205128205128,0,0,65.3846153846154,0,0,0,0,0,0,0,0,0,0,2.56410256410256,0,0,0,0,20.5128205128205,0,2.10169491525424,0.304841126187198
"npz6.38",113.4591,-28.1187,20210513,11:49:00,"NPZ6","out6.1","Fished",27.8,"Claude","Y",0,0,0,0,3.75,0,0,0,0,0,0,82.5,0,1.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,3,0
"npz6.39",113.4539,-28.1139,20210513,11:59:54,"NPZ6","out6.2","Fished",36.3,"Claude","Y",0,0,0,0,1.53846153846154,0,0,0,0,0,0,35.3846153846154,0,0,52.3076923076923,0,1.53846153846154,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,7.69230769230769,0,2.96774193548387,0.178127043949975
"npz6.40",113.4337,-28.1038,20210513,12:14:36,"NPZ6","out6.3","Fished",48.7,"Claude","Y",0,0,0,0,37.9746835443038,0,0,0,0,0,0,6.32911392405063,0,5.06329113924051,37.9746835443038,0,6.32911392405063,0,0,0,0,0,0,0,1.26582278481013,3.79746835443038,0,0,0,0,1.26582278481013,0,2.01612903225806,0.127000127000191
"npz6.28",113.429,-28.0937,20210513,12:27:11,"NPZ6","npz6.28","No-take",47.3,"Claude","Y",0,0,86.0759493670886,0,0,0,0,0,0,0,0,0,0,0,12.6582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26582278481013,0,1.11666666666667,0.323731771513093
"npz6.43",113.4111,-28.1064,20210513,12:45:00,"NPZ6","out6.6","Fished",56.2,"Claude","Y",0,0,0,30,37.5,0,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,3.75,0,0,20,0,3.75,0,1.71621621621622,0.80273966284766
"npz6.8",113.4012,-28.0888,20210513,13:01:30,"NPZ6","npz6.8","No-take",73.6,"Claude","Y",0,0,50,0,11.25,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,1.25,0,2.5,0,0,20,0,13.75,0,1.63380281690141,1.05883273493191
"npz6.30",113.3989,-28.0912,20210513,13:12:16,"NPZ6","npz6.30","No-take",87.9,"Claude","Y",0,0,63.2911392405063,0,1.26582278481013,0,1.26582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1772151898734,0,0,0,1,0
"npz6.2",113.3863,-28.0862,20210513,13:26:50,"NPZ6","npz6.2","No-take",92,"Claude","Y",0,0,0,0,0,0,25.6756756756757,0,0,0,0,0,0,0,0,0,0,0,6.75675675675676,2.7027027027027,0,0,0,12.1621621621622,14.8648648648649,25.6756756756757,6.75675675675676,0,0,0,5.40540540540541,0,2.88709677419355,1.1323099661019
"npz6.3",113.3864,-28.0914,20210513,13:38:45,"NPZ6","npz6.3","No-take",95.2,"Claude","Y",0,0,0,0,16.3636363636364,0,3.63636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63636363636364,5.45454545454545,25.4545454545455,21.8181818181818,16.3636363636364,0,0,0,7.27272727272727,0,2.49019607843137,0.784156847055685
"npz6.32",113.3837,-28.0963,20210513,13:52:51,"NPZ6","npz6.32","No-take",116,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"npz6.10",113.3498,-28.0798,20210513,14:17:39,"NPZ6","npz6.10","No-take",151,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"npz6.35",113.2744,-28.0417,20210513,15:22:35,"NPZ6","npz6.35","No-take",184,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"npz6.27",113.2892,-28.0688,20210513,15:55:35,"NPZ6","npz6.27","No-take",186,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"npz6.4",113.2764,-28.0769,20210513,15:48:54,"NPZ6","npz6.4","No-take",189,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"npz9.24",113.2072,-27.1612,20210514,09:29:23,"NPZ9","npz9.24","No-take",82.1,"Claude","Y",0,0,0,0,35,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.25,5,3.75,0,0,0,47.5,0,1.33333333333333,0.475016868796284
"npz9.48",113.2013,-27.1527,20210514,09:43:21,"NPZ9","npz9.48","No-take",84.5,"Claude","Y",0,0,0,0,52.0547945205479,0,9.58904109589041,0,0,0,0,0,0,0,0,0,0,0,1.36986301369863,0,0,0,0,8.21917808219178,6.84931506849315,20.5479452054795,0,0,0,0,1.36986301369863,0,2.03174603174603,0.474112208314349
"npz9.46",113.1916,-27.149,20210514,09:56:50,"NPZ9","np79.46","No-take",83.8,"Claude","Y",0,0,0,0,17.7215189873418,0,24.0506329113924,0,0,0,0,0,0,0,0,0,0,0,0,1.26582278481013,0,0,0,5.06329113924051,6.32911392405063,15.1898734177215,2.53164556962025,0,0,0,27.8481012658228,0,1.8125,0.906326967174966
"npz9.19",113.2129,-27.1465,20210514,10:15:01,"NPZ9","npz9.19","No-take",87,"Claude","Y",0,0,0,0,28,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,2.66666666666667,1.33333333333333,0,0,0,0,65.3333333333333,0,1.07547169811321,0.266678761215811
"npz9.50",113.2016,-27.1444,20210514,10:29:15,"NPZ9","npz9.50","No-take",91.5,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.47",113.1916,-27.1397,20210514,10:43:23,"NPZ9","npz9.47","No-take",83.2,"Claude","Y",0,0,0,0,23.0769230769231,0,20.5128205128205,0,0,0,0,0,0,0,0,0,0,0,1.28205128205128,17.9487179487179,1.28205128205128,0,0,10.2564102564103,11.5384615384615,14.1025641025641,0,0,0,0,0,0,2.98461538461538,0.760187223902517
"npz9.49",113.1883,-27.1297,20210514,10:57:37,"NPZ9","npz9.49","No-take",81.5,"Claude","Y",3.84615384615385,0,0,0,19.2307692307692,0,8.97435897435897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41025641025641,3.84615384615385,3.84615384615385,0,0,0,0,53.8461538461538,0,1.14925373134328,0.359027784156703
"npz9.45",113.1821,-27.1341,20210514,11:09:30,"NPZ9","npz9.45","No-take",82.5,"Claude","Y",0,0,0,0,9.09090909090909,0,5.19480519480519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5974025974026,3.8961038961039,7.79220779220779,3.8961038961039,0,3.8961038961039,0,63.6363636363636,0,1.34920634920635,0.626272386342014
"npz9.43",113.1779,-27.1363,20210514,11:20:59,"NPZ9","npz9.43","No-take",82.7,"Claude","Y",0,0,0,0,40.5063291139241,0,6.32911392405063,0,0,0,0,0,0,0,0,0,0,0,0,1.26582278481013,0,0,0,18.9873417721519,3.79746835443038,24.0506329113924,5.06329113924051,0,0,0,0,0,2.41269841269841,0.496273878434877
"npz9.5",113.1603,-27.1519,20210514,11:38:52,"NPZ9","npz9.5","No-take",85.9,"Claude","Y",1.26582278481013,0,0,0,35.4430379746835,0,1.26582278481013,0,0,0,0,0,0,0,0,0,0,0,1.26582278481013,0,0,0,0,2.53164556962025,0,8.86075949367089,0,0,0,0,49.3670886075949,0,1.18840579710145,0.393900641355173
"npz9.14",113.1421,-27.1561,20210514,11:55:54,"NPZ9","npz9.14","No-take",103,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,96.25,0,1,0
"npz9.7",113.136,-27.1463,20210514,12:10:39,"NPZ9","npz9.7","No-take",103,"Claude","Y",0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,96.25,0,0.983333333333333,0.129099444873581
"npz9.16",113.1278,-27.134,20210514,12:27:16,"NPZ9","npz9.16","No-take",102,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1.03125,0.17536809360305
"npz9.8",113.1204,-27.1354,20210514,12:41:29,"NPZ9","npz9.8","No-take",108,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.26",113.122,-27.1256,20210514,12:55:13,"NPZ9","npz9.26","No-take",103,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.933333333333333,0.251548874293232
"npz9.27",113.1335,-27.1253,20210514,13:08:55,"NPZ9","npz9.27","No-take",93.7,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,87.5,0,1,0
"npz9.13",113.1497,-27.1268,20210514,13:24:19,"NPZ9","npz9.13","No-take",88.7,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.41",113.1699,-27.1233,20210514,13:40:49,"NPZ9","npz9.41","No-take",85.5,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.12903225806452,0.337972303052903
"npz9.44",113.1729,-27.1188,20210514,13:53:11,"NPZ9","npz9.44","No-take",85.2,"Claude","Y",0,0,0,0,53.8461538461538,0,5.12820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97435897435897,0,0,0,32.0512820512821,0,1.7,0.461566331377051
"npz9.22",113.1862,-27.1211,20210514,14:07:20,"NPZ9","npz9.22","No-take",85.7,"Claude","Y",0,0,0,0,43.5897435897436,0,11.5384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28205128205128,1.28205128205128,2.56410256410256,0,0,0,39.7435897435897,0,1.09230769230769,0.291712450619019
"npz9.6",113.1905,-27.1197,20210514,14:18:47,"NPZ9","npz9.6","No-take",90.4,"Claude","Y",0,0,0,0,4.22535211267606,0,18.3098591549296,0,0,0,0,0,0,0,0,0,0,0,1.40845070422535,0,0,0,0,4.22535211267606,1.40845070422535,12.6760563380282,0,0,0,0,57.7464788732394,0,1,0
"npz9.4",113.172,-27.1088,20210514,14:37:37,"NPZ9","npz9.4","No-take",85.1,"Claude","Y",0,0,0,0,28.75,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.25,3.75,1.25,0,0,0,53.75,0,1.1304347826087,0.380133238184164
"npz9.9",113.1518,-27.1023,20210514,14:55:14,"NPZ9","npz9.9","No-take",87.8,"Claude","Y",0,0,0,0,0,0,1.31578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31578947368421,97.3684210526316,0,0.833333333333333,0.375823014001414
"npz9.42",113.15,-27.0979,20210514,15:06:31,"NPZ9","npz9.42","No-take",87.6,"Claude","Y",1.25,0,0,0,5,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,1.06666666666667,0.251548874293232
"npz9.17",113.1122,-27.101,20210514,15:28:45,"NPZ9","npz9.17","No-take",95.4,"Claude","Y",0,0,0,0,14.2857142857143,0,33.7662337662338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19480519480519,24.6753246753247,12.987012987013,1.2987012987013,0,0,0,7.79220779220779,0,2.52238805970149,0.745861490009715
"npz9.25",113.1066,-27.1036,20210514,15:44:35,"NPZ9","npz9.25","No-take",103,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.982758620689655,0.131306432859723
"npz9.1",113.1022,-27.0953,20210514,16:00:30,"NPZ9","npz9.1","No-take",102,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26582278481013,0,98.7341772151899,0,1.28571428571429,0.607176740718916
"npz9.23",113.0833,-27.098,20210514,16:22:37,"NPZ9","npz9.23","No-take",119,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.21",113.077,-27.1128,20210514,16:40:35,"NPZ9","npz9.21","No-take",127,"Claude","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02,0.14142135623731
